title,release_date,lyricist,composer,arranger,lyrics
Anytime Anywhere(TVアニメ「葬送のフリーレン」エンディングテーマ),2023.9.29 リリース,milet,"野村陽一郎, 中村泰輔, milet",Evan Call,"And you alright
Can you hear me
誰だれもいない線路せんろ沿ぞいをなぞってく

大袈裟おおげさに泣ないて
笑わらってほしくて
鮮明せんめいでいたい思おもい出でを抱だきしめている

さよならよりずっと大切たいせつな
言葉ことばで伝つたえたいんだ
ありふれて でも特別とくべつで

ほら この目めじゃなければ
見みえなかったものが
どうして? 溢あふれてく

だから もう一度いちど 生うまれ変かわろうとも
また 私わたしはここを選えらぶんだろう

だから あなたと また巡めぐり逢あったら
もう離はなさない 今いまを選えらぶんだろう

約束やくそくなんてなくても
孤独こどくに迷まよう日々ひびでも

その涙なみだだって大丈夫だいじょうぶ、きっと夜よが明あけるよ

And I'm alright (I'll be alright)
Yeah I hear you (I care about you)
伸のびた髪かみを風かぜがからかってる

全部ぜんぶ意味いみがあるよ
立たち止どまった日々ひびも
今いまさらわかってあなたに追おいついたよ

ほら この目めじゃなければ
見みえなかったものが
どうして? 溢あふれてく

だから もう一度いちど 生うまれ変かわろうとも
また 私わたしはここを選えらぶんだろう

だから あなたと また巡めぐり逢あったら
もう離はなさない 今いまを選えらぶんだろう

Anytime anywhere yah (どこにいても)
Anytime anywhere (笑わらってみせて)
I'll be there (目めを閉とじれば いつも)

Anytime anywhere yah (歩あるき出だした)
Anytime anywhere (私わたしを見みてて)
I'll be

せめて 会あいたいよなんて言いわないから
ねえ 今日きょうだけは思おもい出だしていいかな

だからあなたとまた巡めぐりあったら
もう迷まよわない今いまを選えらぶんだろう

約束やくそくなんてなくても
孤独こどくに迷まよう日々ひびでも

こんなに胸むねが痛いたいのは
あなたといた証あかしかな
絶対ぜったいなんてなくても
いつでも届とどいているから
その涙なみだだって大丈夫だいじょうぶ、きっと夜よが明あけるよ
I'm whispering our lullaby for you to come back home"
I still(映画「知らないカノジョ」主題歌),2025.2.26 リリース,milet,"milet, TomoLow",TomoLow,"時ときが止とまる 指ゆびが触ふれる
まだ聞きこえているかな
不器用ぶきよう同士どうし 愛いとおしいページをめくった

あなたがいて私わたしがいる
二人ふたりだけの世界せかいみたい
名前なまえを呼よんでいたいよ
消きえちゃいそうな気きがしたから

こんな鮮あざやかに映うつるよ
あなたがいる世界せかい
魔法まほうみたいだね
いつか解とけてしまうかな

ここにいるよ 何度なんど さよならをしたって
歌うたいたい 伝つたえたい 想おもいが溢あふれてるのに
忘わすれないでね ここにいるから
あなたとずっと

当あたり前まえに隣となりにいた
奇跡きせきはいつの間まにか
自分じぶん勝手かってどうして逸そらして
霞かすませてしまっていた 愛あい

流ながされないで 泣ないてしまっても
嘘うそつかないで 笑わらったあなたじゃなくても
I loved, I love
今度こんどは離はなさないでね

ここにいるよ いつか あなたがいなくなって
愛あいしたい 探さがしたい 日々ひびに意味いみがあるなら
失なくさないでね 心こころにいてね
あなたはずっと

As long as you love me
As long as you love

And I still believe it
Yeah I still believe in you and me

魔法まほうみたいだね
いつか解とけてしまうかな

ここにいるよ 何度なんど さよならをしたって
愛あいしたい 伝つたえたい 想おもいが溢あふれてるのに 今いまでも
忘わすれないでね ここにいるから
あなたとずっと"
hanataba(ドラマ「アンチヒーロー」主題歌),2024.6.5 リリース,milet,"milet, Koichi Tsutaya","Koichi Tsutaya, Kazuma Nagasawa(agehasprings)","大嫌だいきらい 嘘うそじゃない
ああ 鎧よろいをそっとおろして

愛あいしたい 誰だれより脆もろい
私わたしの心こころに気きづいてくれた

僅わずかな光ひかりでもいいよ
私わたしが照てらしていくと 誓ちかった

強つよくなれないまま
ごめんね ごめんねと手てを握にぎった
変かわれたかな 歪ゆがんだ未来みらいでも あなたといたい

不器用ぶきような優やさしさに
先回さきまわりで寄よりかかってくれた

美うつくしい花束はなたばじゃない
名前なまえのない花はなを選えらんでくれた

あなたが隣となりにいれば
闇夜やみよに光ひかりが灯ともった気きがした

忘わすれてしまうかな 涙なみだが枯かれても咲さいた花はな
汚よごれちゃっても綺麗きれいなままだよ 誰だれよりも

こんなに悔くやむほどに愛あいしてしまった日々ひびに
あなたがただ残のこってる
約束やくそくできない私わたしを許ゆるさないでね

僅わずかな光ひかりでもいいよ
あなたと歩あるいていくと 誓ちかった

強つよくなれないけど
あなたといるから 怖こわくないよ
抱だきしめたい 優やさしく 正ただしく 守まもれるように

Go carry on carry on
点てんを点てんを繋つないで
Go carry on carry on
その鎧よろいをおろして"
Ordinary days(ドラマ「ハコヅメ～たたかう！交番女子」主題歌),2021.8.4 リリース,milet,"Koichi Tsutaya, TomoLow, milet",,"願ねがわくば、そう
悲劇ひげきよりも 喜劇きげきよりも 見みていたいのは
奇跡きせきのような当あたり前まえを照てらす この日常にちじょう

間違まちがいじゃない 戻もどることも 許ゆるすことも 怖こわいけど
ふとした時ときに浮うかぶ君きみに ほどけそうな靴紐くつひもを強つよく結むすんだ

歌うたって 転ころんで 理由りゆうも覚おぼえてないけど
最高さいこうも逆ぎゃくも 愛あいしてきたんだ
Maybe もう曖昧あいまいな言葉ことばは 必要ひつようないんだ

ずっと
君きみの隣となりで笑わらうより 君きみに笑わらってほしいのさ
欲よくを言いえばキリがないけど
どんな言葉ことばで伝つたえようとも 足たりないくらい
今いまが愛いとおしいんだ
君きみが君きみでいるために そこに光ひかりが差さすように
どんなときも傍そばにいたいんだ
この手てを ずっと 離はなさないよ

描えがくなら、そう
歓声かんせいもない 正解せいかいもない ゴールの向むこう
君きみがいるなら頑張がんばってみようかな
呆あきれそうな言いい訳わけ でも信しんじたいんだ

歌うたって 転ころんで 傷きずも数かぞえてないけど
「大丈夫だいじょうぶ」と嘘うそを重かさねてきたんだ
Maybe もう曖昧あいまいな言葉ことばは 必要ひつようないんだ

ずっと
君きみの願ねがいが叶かなうように 泣なきたい時ときに泣なけるように
欲よくを言いえばキリがないけど
暗くらがり迷まよってた日々ひびも 太刀打たちうちできないほど
今いまが愛いとおしいんだ
導みちびけなかった希望きぼうも 報むくわれなかった昨日きのうも
今いま生うまれ変かわるんだ きっと
この手てを ずっと 離はなさないよ

ずっと
君きみの隣となりで笑わらうより 君きみに笑わらってほしいのさ
欲よくを言いえばキリがないけど
どんな言葉ことばで伝つたえようとも どうしようもないくらいに
愛いとおしいんだ

君きみが君きみでいるために そこに光ひかりが差さすように
どんなときも傍そばにいたいんだ
この手てを ずっと 離はなさないよ
どんな日ひも きっと 輝かがやくんだ
この手てを ずっと 離はなさないよ"
us,2019.8.21 リリース,"Yui Mugino, TomoLow, milet","Yui Mugino, TomoLow, milet",,"好すきだと言いってしまえば 何なにかが変かわるかな
約束やくそくなんていらないから 抱だきしめてよ
I want you

Don't let me go 1秒びょう先さきもわからない
遠とおくても 近ちかくにいても怖こわいの why?
So cast a spell on me
目覚めざめても解とけない魔法まほう (It's your magic)
教おしえて この話はなしの続つづきを now

このキスでどうか終おわりにしないで 今いまだけは
全部ぜんぶ嘘うそでもあなたに触ふれていたい
I want you now

好すきだと言いってしまえば 何なにかが変かわるかな
約束やくそくなんていらないから 抱だきしめてよ
好すきだと言いってしまえれば 世界せかいは変かわるかな
あなたとだからどこへでも わかってるでしょ
I want you 想おもいを伝つたえたら
I want you 消きえてしまうかな
Will you stay?

It's not enough どんな言葉ことば選えらんでも
(You feel the same?)
あなたの前まえじゃもう何なにも役やくに立たたないの

間違まちがいだらけ直なおさないでいて 今いまだけは
あなたがいなきゃ私わたしでいられない
I want you now

好すきだと言いってしまえば 何なにかが変かわるかな
この線せんを越こえてしまえば 戻もどれないんだよ
好すきだと言いってしまえれば 世界せかいは変かわるかな
あなたとだからどこへでも わかってるでしょ
I want you

Just let it out
It's you I'm dreaming of
あなたが知しらない私わたしを 残のこさず見みててほしいの
Will you, will you, will you stay with me?

「好すき」なんて言葉ことば一ひとつで 二人ふたりは変かわるかな
この線せんを越こえてしまえば 戻もどれないんだよ
好すきだと言いってしまえれば 世界せかいは変かわるかな
あなたとだからどこへでも わかってるでしょ
I want you 想おもいを伝つたえたら
I want you 消きえてしまうかな
Will you stay?"
inside you(TVドラマ スキャンダル専門弁護士 QUEEN オープニング・テーマ),2019.3.6 リリース,milet,Toru,,"Where you're going まだ明あけない
夜よるは 愛想あいそを尽つかして
期待きたいはもうしない あなたはもういない

凍こおりついた声こえ 誰だれも溶とかすことできずに
ただ広ひろがる space 青あおいままの flames

遠とおく消きえる テールライト 照てらして
二ふたつになった 影かげを 残のこして

Tell me what is inside you, inside you now
手てに触ふれた 最初さいしょで最後さいごでも
Tell me who is inside 許ゆるされるなら
Let me in you again and just stay
Please just stay

エンドロールは流ながれない
時ときはもう何なにも癒いやさない
繰くり返かえしの scene 瞳ひとみの裏貼うらはりついた screen

Don't say it's too late to say I need you
Don't say it's too late to say I miss you

Tell me what is inside you, inside you now
目めに見みえない 最初さいしょが最後さいごでも
Tell me who is inside 許ゆるされるなら
Let me in you again 今いまだけ そばにいて

Maybe you're right
Maybe your life's better without me
でも知しらない 誰だれも知しらない あなたがいたって oh

何度なんども確たしかめるほどに 砂すなのようにこぼれ落おちた
もうきっと 戻もどせないの?

Tell me what is inside you, inside you now
手てに触ふれた 最初さいしょで最後さいごでも
Tell me who is inside 許ゆるされるなら
Let me in you again and just stay
Please just stay

Maybe you're right
Maybe your life's better without me
I need you here so
I need to hear you more, never let you down
Maybe you're right
Maybe your life's better without me
Maybe You're right
But let me in your life, just one night"
bliss(アニメ「葬送のフリーレン」エンディングテーマ),2024.1.31 リリース,milet,Evan Call,,"私わたしを守まもるこの名前なまえを
優やさしく呼よんだその声こえが
独ひとり寂さびしく目めを閉とじぬよう
あなたを包つつんで

柔やわらかな その手て
忘わすれぬよう 結むすぼう

夜よるを超こえて 花はなが満みちて
あなたの元もとへ 還かえるでしょう
うねりを裂さいて 闇やみをほどいて
夢ゆめの中なかは濁にごらず

碧あおく続つづく道みちを

散ちりゆくものと見送みおくるもの
ぬるいさざなみが匿かくまう傷きずは
懐なつかしむたび痛いたむけれど
ひずみを包つつんで

導みちびきの中なかで
はぐれぬよう進すすもう

時じを超こえて 花はなが満みちて
あなたの元もとへ誘さそうでしょう
祈いのりを束たばね 空そらに放はなて
この心こころを流ながれる

永ながい時ときの歌うた 風かぜに授さずけて
先立さきだつものよ 光ひかりを灯ともせ
悲かなしみすらも 救すくいよ届とどけ

この声こえが 呼よぶ方ほうへ
夜よるを超こえて 花はなが満みちて
あなたの元もとへ 還かえるでしょう
うねりを裂さいて 闇やみをほどいて
夢ゆめの中なかは濁にごらず

碧あおく続つづく道みちを"
Wake Me Up(テレビ朝日「羽鳥慎一モーニングショー」テーマソング),2022.2.2 リリース,milet,"milet, TomoLow",,"Give me a minute
'Cause I need to feel it
気きづけばまた夜明よあけをまたいだ

そう近付ちかづいて 遠とおざかって
How many tears have you shed?
声こえもなく笑わらっていた

Babe if you want it, babe if you want it
いつのまにか 漕こぎ着つけた今日きょうも
You must fight for it, you must fight for it
Come on We'll be fine as long as you're with me You're with me

You wake me up 今いま飛とび込こんで
ひとつも残のこさず聞きいて
溢あふれるあなたも愛あいしていたい
この声こえで羽はばたけ your mind

Wake me up どこまでも行いける
裸足はだしのまま駆かけ抜ぬけて
その瞳ひとみで弾はじけたいの Spark
もう二に度たびとない今いまだけを抱だきしめて
どこにいても you're mine
他ほかには何なにもない
いつまでも you're mine

Be what you wanna be, yeah
And no need to hide it
苦くるし紛まぎれに言葉ことばを紡つむいで

まだいける? 飽あきもせず
繰くり返かえした自問じもんで came a long way to get here

Before the night's over
I'm still running for you
'Cause you make my world shine so bright
And we'll never go back
Back to where we were
As long as you're with me We'll be fine

Now I let you know that you're my one and only
'Cause you make my world shine so bright

So please wake me up
Leave it all behind
I won't let you go

Now wake me up 今いま飛とび込こんで
ひとつも残のこさず聞きいて
溢あふれるあなたも愛あいしていたい
この声こえで羽はばたけ your mind

Wake me up どこまでも行いける
裸足はだしのまま駆かけ抜ぬけて
その瞳ひとみで弾はじけたいの Spark
もう二度にどとない今いまだけを抱だきしめて
どこにいても you're mine
他ほかには何なにもない
いつまでも you're mine"
Tell me,2020.2.19 リリース,"milet, Ryosuke'Dr.R'Sakai","milet, Ryosuke'Dr.R'Sakai",,"If you need me, I'm here
I've been waiting for you
染しみ付ついた声こえが まだ思おもい出だせると

偽いつわれないよ 間違まちがいだとしても
繰くり返かえしてしまうよ また

答こたえて 涙なみだの意味いみを please now
閉とじ込こめたいから

So just tell me now, just tell me now
Why are you crying now?
二度にどとは戻もどれない それでも
Just tell me now, please tell me now
まだここにいたい
枯かれそうな花はな ひとりきりでも

あなたが教おしえてくれたの my name
I need you, I need you right here

見みつけてくれた それだけでいいよ
永遠えいえんが終おわって 全部ぜんぶ消きえても

渡わたってく shallow もう誰だれもいないよ
でも残のこっているの your touch

ほどいて your tight rope, just hear me out
抱だきしめたいから

So just tell me now, just tell me now
Why are you crying now?
二度にどとは叶かなわない願ねがいでも
Just tell me now, please tell me now
And touch me now
どこにもいけない それでも

I don't wanna wake up from this sweet sweet dream 'cause(my love)
ありのままの私わたしも あなたさえいてくれたから
跡形あとかたもなく終おわる最後さいごだったとしても
見逃みのがさないよ I know

So Just tell you now, please tell me now
Why are you crying now?
I feel you everywhere, so I

I gotta tell you now, gotta tell you now
Why am I crying now?
二度にどとは戻もどれない それでも
Just tell me now, please tell me now
まだここにいたい
枯かれそうな花はな ひとりきりでも

I'm dreaming 'bout you every night, but you're not by my side
I need you, I need you right here"
Prover,2020.2.19 リリース,milet,"TomoLow, milet",,"踏ふみ込こんだ shadow land 楽園らくえんなんてない
錆さびる old remedies 確信かくしんなんてない

それでも go up the river
しがみつくだけの ladder
涙なみだにさえ灯ともる火ひが
ひとつの sign ひとつの light

明あけない夜よるも歌うたが途切とぎれないように
当あてなく迷まよう夢ゆめがもつれないように
すれ違ちがった足跡あしあとたち 振ふり返かえらぬように
踏ふみ外はずしたあなたでさえ手離てばなさないように

I'm the prover
I am the prover
終おわらない世界せかいにだって立たち向むかうように
I'm the prover 命いのちの声こえが
また響ひびき出だすころに あなたと(I'll be there)
沈しずまずにゆく舟ふねを

降ふり出だした iron rain ゼロにするための pray
同おなじ孤独こどくを見みてた あなたならわかるでしょう

それでも go up the river
いつかまた出逢であえるなら
この愛あいに灯ともる火ひが
ひとつの sign ひとつの light

明あけない夜よるも歌うたが途切とぎれないように
当あてなく迷まよう夢ゆめがもつれないように
すれ違ちがった足跡あしあとたち 振ふり返かえらぬように
踏ふみ外はずしたあなたでさえ手離てばなさないように

If you can't find your way
(I won't give up on you)
Everything is not lost
('Cause I'm standing with you)
二度にどと戻もどれはしない世界せかいだとしても
I'm here for you
I'll live for you

I'm the prover
I am the prover
終おわらない世界せかいにだって立たち向むかうように
I'm the prover 命いのちの声こえが
また響ひびき出だすことに あなたと(I'll be there)
沈しずまずにゆく舟ふねを
どこまでもゆく舟ふねを"
